farm_id,region,crop,season,predicted_low_yield_risk_prob
FARM_001,Andhra Pradesh,Rice,Rabi,0.2669999999999999
FARM_002,Tamil Nadu,Maize,Rabi,0.26294999999999963
FARM_003,Andhra Pradesh,Wheat,Kharif,0.31734999999999924
FARM_004,Andhra Pradesh,Maize,Kharif,0.27750000000000025
FARM_005,Tamil Nadu,Maize,Rabi,0.2866499999999999
FARM_006,Tamil Nadu,Rice,Kharif,0.31724999999999964
FARM_007,Andhra Pradesh,Maize,Rabi,0.27924999999999994
FARM_008,Karnataka,Rice,Rabi,0.5749499999999992
FARM_009,Andhra Pradesh,Maize,Kharif,0.3281000000000005
FARM_010,Andhra Pradesh,Wheat,Kharif,0.5725499999999982
FARM_011,Andhra Pradesh,Maize,Rabi,0.34204999999999997
FARM_012,Andhra Pradesh,Rice,Rabi,0.3333499999999996
FARM_013,Tamil Nadu,Rice,Kharif,0.3203499999999992
FARM_014,Andhra Pradesh,Wheat,Rabi,0.34104999999999924
FARM_015,Karnataka,Maize,Kharif,0.22754999999999975
FARM_016,Tamil Nadu,Maize,Rabi,0.27444999999999964
FARM_017,Karnataka,Wheat,Kharif,0.3099499999999992
FARM_018,Karnataka,Maize,Kharif,0.31164999999999965
FARM_019,Karnataka,Maize,Kharif,0.32605000000000006
FARM_020,Karnataka,Rice,Rabi,0.282950000000001
FARM_021,Tamil Nadu,Maize,Rabi,0.2849999999999995
FARM_022,Tamil Nadu,Maize,Kharif,0.2872499999999996
FARM_023,Karnataka,Wheat,Rabi,0.3329999999999997
FARM_024,Karnataka,Wheat,Kharif,0.3101000000000005
FARM_025,Tamil Nadu,Rice,Kharif,0.3057000000000002
FARM_026,Tamil Nadu,Maize,Rabi,0.2766000000000004
FARM_027,Tamil Nadu,Maize,Rabi,0.30989999999999973
FARM_028,Andhra Pradesh,Maize,Kharif,0.28800000000000037
FARM_029,Andhra Pradesh,Rice,Rabi,0.3099500000000002
FARM_030,Andhra Pradesh,Rice,Rabi,0.28605000000000025
FARM_031,Karnataka,Wheat,Kharif,0.2969000000000003
FARM_032,Andhra Pradesh,Rice,Kharif,0.28904999999999986
FARM_033,Karnataka,Maize,Rabi,0.34485000000000104
FARM_034,Karnataka,Maize,Kharif,0.3144000000000006
FARM_035,Andhra Pradesh,Rice,Kharif,0.5774999999999983
FARM_036,Karnataka,Maize,Rabi,0.5720999999999988
FARM_037,Andhra Pradesh,Maize,Kharif,0.28874999999999984
FARM_038,Andhra Pradesh,Rice,Kharif,0.26585000000000003
FARM_039,Tamil Nadu,Rice,Rabi,0.2390000000000004
FARM_040,Andhra Pradesh,Maize,Rabi,0.5774999999999989
FARM_041,Tamil Nadu,Maize,Kharif,0.2789000000000001
FARM_042,Andhra Pradesh,Maize,Kharif,0.40745000000000003
FARM_043,Andhra Pradesh,Wheat,Rabi,0.3063500000000002
FARM_044,Tamil Nadu,Wheat,Rabi,0.3091999999999996
FARM_045,Tamil Nadu,Wheat,Rabi,0.2811499999999999
FARM_046,Andhra Pradesh,Rice,Rabi,0.2763500000000001
FARM_047,Karnataka,Wheat,Kharif,0.3231000000000007
FARM_048,Tamil Nadu,Rice,Rabi,0.27215000000000017
FARM_049,Karnataka,Rice,Rabi,0.2571999999999992
FARM_050,Karnataka,Wheat,Kharif,0.34629999999999955
FARM_051,Karnataka,Wheat,Rabi,0.5884500000000014
FARM_052,Tamil Nadu,Wheat,Kharif,0.29590000000000066
FARM_053,Karnataka,Maize,Rabi,0.3069999999999992
FARM_054,Tamil Nadu,Wheat,Rabi,0.36364999999999886
FARM_055,Karnataka,Maize,Rabi,0.2996000000000003
FARM_056,Andhra Pradesh,Rice,Kharif,0.2960999999999999
FARM_057,Andhra Pradesh,Maize,Kharif,0.5798499999999988
FARM_058,Tamil Nadu,Wheat,Rabi,0.5683500000000007
FARM_059,Andhra Pradesh,Rice,Kharif,0.33070000000000094
FARM_060,Andhra Pradesh,Rice,Kharif,0.2659499999999998
FARM_061,Karnataka,Rice,Kharif,0.30349999999999944
FARM_062,Tamil Nadu,Maize,Kharif,0.2849000000000004
FARM_063,Karnataka,Wheat,Kharif,0.2991999999999999
FARM_064,Karnataka,Rice,Kharif,0.2958500000000001
FARM_065,Karnataka,Rice,Rabi,0.571600000000001
FARM_066,Karnataka,Rice,Rabi,0.5200999999999992
FARM_067,Karnataka,Maize,Kharif,0.2841999999999994
FARM_068,Karnataka,Maize,Rabi,0.26025000000000004
FARM_069,Karnataka,Wheat,Rabi,0.28565000000000035
FARM_070,Tamil Nadu,Maize,Rabi,0.33200000000000024
FARM_071,Andhra Pradesh,Rice,Rabi,0.32844999999999996
FARM_072,Karnataka,Wheat,Kharif,0.27024999999999993
FARM_073,Karnataka,Rice,Rabi,0.31360000000000104
FARM_074,Karnataka,Rice,Rabi,0.28699999999999964
FARM_075,Karnataka,Maize,Kharif,0.31450000000000006
FARM_076,Karnataka,Wheat,Kharif,0.3527000000000003
FARM_077,Karnataka,Maize,Rabi,0.2721499999999996
FARM_078,Andhra Pradesh,Maize,Rabi,0.2581500000000001
FARM_079,Andhra Pradesh,Wheat,Rabi,0.5333500000000011
FARM_080,Karnataka,Rice,Rabi,0.3550999999999997
FARM_081,Andhra Pradesh,Rice,Rabi,0.3085999999999994
FARM_082,Tamil Nadu,Wheat,Rabi,0.30284999999999923
FARM_083,Karnataka,Rice,Kharif,0.5979499999999994
FARM_084,Tamil Nadu,Wheat,Rabi,0.26095
FARM_085,Tamil Nadu,Wheat,Rabi,0.37525000000000086
FARM_086,Karnataka,Maize,Kharif,0.3218500000000006
FARM_087,Andhra Pradesh,Wheat,Kharif,0.5627999999999992
FARM_088,Tamil Nadu,Maize,Kharif,0.3199000000000012
FARM_089,Karnataka,Rice,Kharif,0.3375500000000005
FARM_090,Tamil Nadu,Rice,Rabi,0.3308500000000004
FARM_091,Tamil Nadu,Rice,Rabi,0.29834999999999967
FARM_092,Tamil Nadu,Rice,Rabi,0.32935
FARM_093,Tamil Nadu,Maize,Rabi,0.660949999999999
FARM_094,Andhra Pradesh,Rice,Rabi,0.3496999999999994
FARM_095,Tamil Nadu,Wheat,Rabi,0.35095000000000043
FARM_096,Tamil Nadu,Wheat,Kharif,0.277550000000001
FARM_097,Tamil Nadu,Wheat,Rabi,0.560599999999999
FARM_098,Andhra Pradesh,Maize,Kharif,0.30244999999999983
FARM_099,Tamil Nadu,Rice,Kharif,0.2976499999999993
FARM_100,Tamil Nadu,Rice,Rabi,0.33995000000000014
FARM_101,Andhra Pradesh,Rice,Kharif,0.5353499999999998
FARM_102,Andhra Pradesh,Maize,Rabi,0.35635000000000006
FARM_103,Andhra Pradesh,Wheat,Kharif,0.5893500000000013
FARM_104,Tamil Nadu,Wheat,Rabi,0.27825000000000044
FARM_105,Andhra Pradesh,Rice,Kharif,0.2930499999999997
FARM_106,Andhra Pradesh,Wheat,Rabi,0.2473499999999995
FARM_107,Tamil Nadu,Wheat,Rabi,0.6086000000000003
FARM_108,Andhra Pradesh,Maize,Rabi,0.2960499999999997
FARM_109,Tamil Nadu,Maize,Rabi,0.2535500000000004
FARM_110,Karnataka,Maize,Rabi,0.3015000000000001
FARM_111,Andhra Pradesh,Maize,Kharif,0.5827499999999989
FARM_112,Karnataka,Rice,Kharif,0.3565500000000002
FARM_113,Tamil Nadu,Maize,Kharif,0.5778000000000013
FARM_114,Andhra Pradesh,Wheat,Rabi,0.2518499999999997
FARM_115,Tamil Nadu,Rice,Kharif,0.5838500000000019
FARM_116,Karnataka,Wheat,Rabi,0.3064999999999997
FARM_117,Tamil Nadu,Wheat,Rabi,0.5030999999999994
FARM_118,Andhra Pradesh,Wheat,Kharif,0.29004999999999936
FARM_119,Andhra Pradesh,Maize,Kharif,0.28704999999999975
FARM_120,Karnataka,Maize,Rabi,0.3179999999999992
